place_id,name,description,is_spending_on_ads,reviews,rating,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJ3-36RvzzT0YRkUjozAy8oRM,Lekplats,,FALSE,1,2,,,TRUE,Lekplats (agare),,https://lh3.ggpht.com/p/AC9h4noiNHK26N2Yxdzxh9j0-UFjF-Ee7TickTy36eEqIwfaScBEN5gEB8O6baC1MS8ZOFm8t7cgbnI33L-UoqbM0MJHYUCducl8rxNT6epbK2sIR0-aLtmMT_u0XHkmya6IHFkmoQomEw=s1024,Lekplats,Lekplats,,FALSE,Open All Days,"Topasgatan 52, 421 48 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff3fc46faeddf:0x13a1bc0ccce84891!8m2!3d57.6467205!4d11.9103452!16s%2Fg%2F11rw_t_5l2!19sChIJ3-36RvzzT0YRkUjozAy8oRM?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJMyR5s0fzT0YRx4aoSNJhZNg,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xzHeVHZa4ZzO2iBOd9e7ZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=101.10435&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag","Munspelsgatan 8, 421 51 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff347b3792433:0xd86461d248a886c7!8m2!3d57.6553867!4d11.9061987!16s%2Fg%2F11p0bvshcj!19sChIJMyR5s0fzT0YRx4aoSNJhZNg?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJEZrLCqvzT0YRUMQ4anVFMeA,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LN9pWpQAKGTPEkqOoDXQ0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.626686&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Barytongatan 6, 421 38 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff3ab0acb9a11:0xe03145756a38c450!8m2!3d57.6666343!4d11.9187796!16s%2Fg%2F11rxcvt7sv!19sChIJEZrLCqvzT0YRUMQ4anVFMeA?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJe7XBKoXzT0YRvPEHapjV9F4,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bXDn2vK0E3YKoHjOP6W_ig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=26.667229&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Basungatan 7, 421 40 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff3852ac1b57b:0x5ef4d5986a07f1bc!8m2!3d57.6605864!4d11.9193399!16s%2Fg%2F11p002m898!19sChIJe7XBKoXzT0YRvPEHapjV9F4?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJo42tuV7zT0YRKK1AGaNB--8,Lekplats,,FALSE,1,4,https://lekplats.se/,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YnPiTceK98o0gYI7dw3A-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=46.74122&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Hogtalaregatan 9, 421 33 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff35eb9ad8da3:0xeffb41a31940ad28!8m2!3d57.6550613!4d11.9327562!16s%2Fg%2F11f86dqd8r!19sChIJo42tuV7zT0YRKK1AGaNB--8?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJoTmfKL_zT0YRIED_tE7LWQw,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GRPBZaB5FAZA4-0-UmYfMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=35.375607&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Klarinettgatan 11, 421 39 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff3bf289f39a1:0xc59cb4eb4ff4020!8m2!3d57.6619152!4d11.9162188!16s%2Fg%2F11rw_z190b!19sChIJoTmfKL_zT0YRIED_tE7LWQw?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJDy8poXCNT0YREDiiaw-Ty5Y,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,,Lekplats,Lekplats,,FALSE,Open All Days,"Beryllgatan 19, 426 59 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464f8d70a1292f0f:0x96cb930f6ba23810!8m2!3d57.6572175!4d11.8884144!16s%2Fg%2F11qg1bx_nw!19sChIJDy8poXCNT0YREDiiaw-Ty5Y?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJLy-E-uvzT0YR0vZyqP4hkcE,Lekplats 78 Dvargaleken,,FALSE,0,0,https://goteborg.se/wps/portal?uri=gbglnk%3Agbg.page.e9777318-dc81-4755-9d60-628f8f146ffba&serviceUrl=5105&servicetype=Lekplatser,031-365 00 00,TRUE,Lekplats 78 Dvargaleken (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OskXq37-qbIxEmMB9_4KjA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.31586&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag","Dvargaleken, 414 79 Goteborg",,https://www.google.com/maps/place/Lekplats+78+Dv%C3%A4rgaleken/data=!4m7!3m6!1s0x464ff3ebfa842f2f:0xc19121fea872f6d2!8m2!3d57.6732695!4d11.9291657!16s%2Fg%2F11nx2zdtb0!19sChIJLy-E-uvzT0YR0vZyqP4hkcE?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJs45fihDzT0YRkO0zR-xXQNw,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kn_Trn7SVT0wt7xLWPZ7gQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=37.4309&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Speldosegatan 4, 421 51 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff3108a5f8eb3:0xdc4057ec4733ed90!8m2!3d57.6545764!4d11.9046414!16s%2Fg%2F11qgfnc5_j!19sChIJs45fihDzT0YRkO0zR-xXQNw?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
ChIJV9gdoADzT0YRGpebRUWUlw8,Lekplats,,FALSE,0,0,,,TRUE,Lekplats (agare),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=heL4gA7e0cQwR8iZ7XWT_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=13.884112&pitch=0&thumbfov=100,Lekplats,Lekplats,,FALSE,Open All Days,"Distansgatan 61, 421 70 Vastra Frolunda",,https://www.google.com/maps/place/Lekplats/data=!4m7!3m6!1s0x464ff300a01dd857:0xf979445459b971a!8m2!3d57.6610054!4d11.9269768!16s%2Fg%2F11lc4fk1rf!19sChIJV9gdoADzT0YRGpebRUWUlw8?authuser=0&hl=sv&rclk=1,lekpark in vastra frolunda
