place_id,name,description,reviews,rating,website,phone,owner_name,featured_image,main_category,,address,state,
ChIJG_Ab1Hp7Z0YRVRtxaL7xYxs,Lekpark,,3,4.7,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4nrjwjjq38kYxwoYXkW-cm31rYs3gs-SnV674_txfxYQUvkpJi4iNRXKCnuW-H5RFfw_cT43VjMWg7NcQ-QC9ef_W-o2Y4oz3gvv6LezoZecUkmI59jSUdO7SEZU5YHd6157MKJ0=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Dora Lindgrens Vag 87,Falun,
ChIJt9fXIqT1T0YRH2AKBFPfVYM,Lekpark,,4,5,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4npWNPK8SWc_y7JIxmKVhxg5lbKZ7C1kj0NhNpAJXHlBaEDAljIrFF1nN2xczSTz1C2A-iHtlDRTZ8txugKRYaliMCc_v95d9CR0NvWXo1_WD-mCW_fwIY9OlFrIKiPn2igvHjh_=s1024,Lekplats,Open All Days,Lillekarr Norra 4,Hisings Karra,Karra
ChIJwTcTbwCLXkYRyid8x6mQZ6Y,Lekpark,,1,4,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p1H4FGDpMeFvkLTeqobLzQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.47699&pitch=0&thumbfov=100,Lekplats,Open All Days,644 36 Eskilstuna,Eskilstuna,
ChIJ6foND0jzXkYRJqzXZonOQVA,Lekpark,,0,0,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iWsBHc5WlVmRyJHNi_vCiw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=219.24077&pitch=0&thumbfov=100,Lekplats,Open All Days,Spelmansvagen 19,Eskilstuna,
ChIJiWdyGSXzXkYR38n7EtmANHs,Lekpark,,0,0,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xf_0hJJzMUSvluIBeSl8aQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=169.37648&pitch=0&thumbfov=100,Lekplats,Open All Days,Vedbergsgatan 6,Eskilstuna,
ChIJg4Mv_1dxX0YRMnTCt7QDpK0,Lekpark,,2,4.5,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hk76_2oCt2hq4W0k1vL7Gw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=299.34946&pitch=0&thumbfov=100,Park,Open All Days,Vistabergs alle 50,Huddinge,
ChIJy5p1DHYVXEYRffH01f7SPPY,Lekpark,,4,4.3,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4nojjL-kMlEbUpRGJXXf9NZ5kf_CRRyYPkVcibOdvabELS6xKmOAsJjtn-z2Z0iPd8OHkDarmpmSl3VWrSfusisnkBvDDFkn32oUDHU9yQojvMg0XYp184P-d5js9vDH4YTZ_1qJ=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Trangkarsvagen 73,Orebro,
ChIJCwff81QVXEYR16S_HYvJZ_U,Lekpark,,0,0,http://finfast.se/,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fftoJTD0KxEOI3foGJHD8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.90666&pitch=0&thumbfov=100,Park,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",702 26 Orebro,Orebro,
ChIJu6eYp6QVXEYR0TY1H3ao0vI,Lekpark,,1,3,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1T6U_o6InlTk-KwhP2esyQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=211.9952&pitch=0&thumbfov=100,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Trangkarsvagen 28,Orebro,
ChIJAxyQxiCXX0YRV4082c4JSyA,Lekpark,,36,4.5,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4nqoLX2_CS0iAPbEZu9K5VCXSSEacvKAMdyzoWl7wmB9tqGQAQdSXmZKt81ZxCVz2-HYRGJcmO2-pu0v_hosD44rDtyQrL6Cb-ln-gMNIkEEbbfS5D8DDXpveg9DndTGPmSI9HBu=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",186 36 Vallentuna Socken,Vallentuna,
ChIJ6fGNEWmZX0YRLnPkyDl3ySg,Lekpark,,5,4.8,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4noRu8LSBWP9lA1ad-_9jO9YFfpsJFkijbdcIuSTRD7dl4olqaFbQcgdt63GpbL1QZGqwBt0UFgI_AKCmCShijnOdO4xuqKsDiwD1HFOZkFQuy8T4dlgVcGrGu7JYcD0bq-39-e7Rg=s1024,Park,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Hasseluddsvagen 8,Vallentuna,
ChIJO37Hi1GZX0YRaIbjNvRL_o4,Lekpark,,8,3.5,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G3QVD-9ZMDXVjIWXuDjPhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=344.0133&pitch=0&thumbfov=100,Lekplats,Open All Days,Bataljonsvagen 11,Vallentuna,
ChIJWZQVQ3I7WUYRk3E6SG6H_Zo,Lekpark,,1,5,,,Lekpark (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PQ-qSEBetA6KkN1PSfSHGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=251.72044&pitch=0&thumbfov=100,Lekplats,Open All Days,Upplandsgatan 31,Norrkoping,
ChIJRzz1hgCZX0YRAD5yciWnZjw,Lekpark,,3,4.7,,,Lekpark (agare),https://lh3.ggpht.com/p/AC9h4nqHI5eYNM7q09w6Q5QdsqiIQjTsh5H4UGUCYPI6vzN7_38Hr_7klw_fjgRq1CW14ya2uOv24pUrkIwQUiKZBkTvY9nAlTPRH3isTJFKSWa3luaWHf-HTGG0abwykv__tRC5l8gr=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",194 78 Upplands Vasby,Upplands Vasby,
ChIJZ3fRT215X0YRlzGT1ZdafRQ,Lekpark a Skeppsbro Bageri,,0,0,,,Lekpark a Skeppsbro Bageri (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e9Ec5sgCiclgv-mYGT-2fg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.38278&pitch=0&thumbfov=100,Park,Open All Days,Tanneforsvagen 9,Enskede,
ChIJZ5MsUTFxX0YRkRdtMLzjHFg,Lekpark Barnstenen,,1,3,,,Lekpark Barnstenen (agare),https://lh3.ggpht.com/p/AC9h4noar3buLy1LxdQDJW_Dva7f_NFS3GLcZO-BMhXmoJes22gr0LvOYZKWvKGlEMk0oa1NMnm2SDsZ_zqhyTaOK9jbj3I4j_Qk5N1OrWnzfND78NwbIovoOWp3d7zTATrLzALhq2pb=s1024,Lekplats,Open All Days,Stupvagen 2,Tumba,
